MJD	AB_Mag	Error	Filter	Telescope
58432.243161085530	16.025966463446867	0.01914391000726039	UVW2	UVOT
58434.721913013610	16.129718770022950	0.02445153424347274	UVW2	UVOT
58436.419947904535	16.208072073210243	0.02009346947430223	UVW2	UVOT
58439.607931193430	16.277803773280656	0.02159033162939555	UVW2	UVOT
58440.572383195630	16.327327537253700	0.02038837432272607	UVW2	UVOT
58442.601728857495	16.362063539197706	0.02225407222848991	UVW2	UVOT
58443.562271586620	16.317361197409696	0.03145645195735350	UVW2	UVOT
58445.480647922030	16.368709554176140	0.02765184337887582	UVW2	UVOT
58446.447057074400	16.698987053108390	0.02287730233341605	UVW2	UVOT
58449.443209341730	16.586281283900306	0.02229401338874845	UVW2	UVOT
58453.884889776820	16.642671570859264	0.02305121026585839	UVW2	UVOT
58455.741542780770	16.781592750511603	0.02327021258855915	UVW2	UVOT
58458.569199713410	16.768561583950813	0.02354682595580978	UVW2	UVOT
58461.761664450634	16.873361928009686	0.03908019657821533	UVW2	UVOT
58464.406269554050	16.984246376129825	0.02725314486894105	UVW2	UVOT
58467.636501070110	17.110576684285885	0.02673861715722758	UVW2	UVOT
58475.800955186130	17.215987787421632	0.02743833769257353	UVW2	UVOT
58481.554115493316	17.323993488475715	0.02870932342561225	UVW2	UVOT
58484.708529508670	17.381776937671628	0.02930355410467960	UVW2	UVOT
58487.730572985950	17.412928858717160	0.03082471366647588	UVW2	UVOT
58490.474372901490	17.451534776266612	0.03075408644630955	UVW2	UVOT
58493.635722284205	17.448885543128828	0.03056439955640566	UVW2	UVOT
58496.723486598580	17.489248580965300	0.03068375370479888	UVW2	UVOT
58499.443065395580	17.500363636569540	0.03116141652504907	UVW2	UVOT
58502.071826632135	17.553828789343928	0.03581331199071942	UVW2	UVOT
58513.364008100240	17.780151875833216	0.04178106038588999	UVW2	UVOT
58518.630041810220	17.648546629029383	0.03560647943998925	UVW2	UVOT
58521.731122408060	17.613275012211073	0.04520049014828821	UVW2	UVOT
58525.410979184790	17.647217096807452	0.03381257106851543	UVW2	UVOT
58536.999519396570	17.723776584244202	0.03557776456013339	UVW2	UVOT
58541.051935260184	17.768563457097425	0.04091694402921043	UVW2	UVOT
58545.667706784330	17.788050180094135	0.03488127679477435	UVW2	UVOT
58549.848647322040	17.792871933920754	0.03469668827762267	UVW2	UVOT
58579.161081309896	18.131066801003780	0.05465233418284556	UVW2	UVOT
58581.631234435365	18.260045557166116	0.04322052741686329	UVW2	UVOT
58584.278557349930	18.246633724361935	0.05373462087529326	UVW2	UVOT
58432.246558496260	15.713810563403108	0.02278260114530591	UVM2	UVOT
58434.731783452910	15.827094654653312	0.02251942203538364	UVM2	UVOT
58436.423696606886	15.882052972077620	0.02382996445603438	UVM2	UVOT
58439.612438153476	15.975102255122070	0.02421801757749247	UVM2	UVOT
58440.578167752360	16.008247207920366	0.02357243816656730	UVM2	UVOT
58442.606143494140	16.046438815268047	0.02451065454996972	UVM2	UVOT
